
ВРЕМЯ: 0

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
| 178            | -0.522642      | 4.97261        | 5              | 0              | 
| 179            | -0.142857      | 0.247436       | 5              | 0              | 
| 180            | -0.428571      | 0.742307       | 5              | 0              | 
| 181            | -1             | 1.73205        | 5              | 0              | 
| 182            | -1.375         | 2.38157        | 5              | 0              | 
| 183            | -2.5           | 4.33013        | 5              | 0              | 
| 184            | -0.231148      | 0.167939       | 5              | 0              | 
| 185            | -0.693443      | 0.503816       | 5              | 0              | 
| 186            | -1.61803       | 1.17557        | 5              | 0              | 
| 187            | -2.2248        | 1.61641        | 5              | 0              | 
| 188            | -4.04508       | 2.93893        | 5              | 0              | 
| 189            | -0.279471      | 0.0594033      | 5              | 0              | 
| 190            | -0.838412      | 0.17821        | 5              | 0              | 
| 191            | -1.9563        | 0.415823       | 5              | 0              | 
| 192            | -2.68991       | 0.571757       | 5              | 0              | 
| 193            | -4.89074       | 1.03956        | 5              | 0              | 
| 194            | -0.279471      | -0.0594033     | 5              | 0              | 
| 195            | -0.838412      | -0.17821       | 5              | 0              | 
| 196            | -1.9563        | -0.415823      | 5              | 0              | 
| 197            | -2.68991       | -0.571757      | 5              | 0              | 
| 198            | -4.89074       | -1.03956       | 5              | 0              | 
| 199            | -0.231148      | -0.167939      | 5              | 0              | 
| 200            | -0.693443      | -0.503816      | 5              | 0              | 
| 201            | -1.61803       | -1.17557       | 5              | 0              | 
| 202            | -2.2248        | -1.61641       | 5              | 0              | 
| 203            | -4.04508       | -2.93893       | 5              | 0              | 
| 204            | -0.142857      | -0.247436      | 5              | 0              | 
| 205            | -0.428571      | -0.742307      | 5              | 0              | 
| 206            | -1             | -1.73205       | 5              | 0              | 
| 207            | -1.375         | -2.38157       | 5              | 0              | 
| 208            | -2.5           | -4.33013       | 5              | 0              | 
| 209            | -0.0298653     | -0.284149      | 5              | 0              | 
| 210            | -0.0895958     | -0.852447      | 5              | 0              | 
| 211            | -0.209057      | -1.98904       | 5              | 0              | 
| 212            | -0.287453      | -2.73494       | 5              | 0              | 
| 213            | -0.522642      | -4.97261       | 5              | 0              | 
| 214            | 0.0882906      | -0.27173       | 5              | 0              | 
| 215            | 0.264872       | -0.815191      | 5              | 0              | 
| 216            | 0.618034       | -1.90211       | 5              | 0              | 
| 217            | 0.849797       | -2.61541       | 5              | 0              | 
| 218            | 1.54508        | -4.75528       | 5              | 0              | 
| 219            | 0.19118        | -0.212327      | 5              | 0              | 
| 220            | 0.573541       | -0.636981      | 5              | 0              | 
| 221            | 1.33826        | -1.48629       | 5              | 0              | 
| 222            | 1.84011        | -2.04365       | 5              | 0              | 
| 223            | 3.34565        | -3.71572       | 5              | 0              | 
| 224            | 0.261013       | -0.11621       | 5              | 0              | 
| 225            | 0.783039       | -0.348631      | 5              | 0              | 
| 226            | 1.82709        | -0.813473      | 5              | 0              | 
| 227            | 2.51225        | -1.11853       | 5              | 0              | 
| 228            | 4.56773        | -2.03368       | 5              | 0              | 

ВРЕМЯ: 8

Результат в узлах (веса):
 ___________________________________________________________________ 
| № элемента     | x              | y              | z              | u*             | 
|----------------|----------------|----------------|----------------|----------------|
| 1              | 0              | 0              | 0              | 0              | 
| 2              | 0.285714       | 0              | 0              | 0              | 
| 3              | 0.857143       | 0              | 0              | 0              | 
| 4              | 2              | 0              | 0              | 0              | 
| 5              | 2.75           | 0              | 0              | 0              | 
| 6              | 5              | 0              | 0              | 0              | 
| 7              | 0.261013       | 0.11621        | 0              | 0              | 
| 8              | 0.783039       | 0.348631       | 0              | 0              | 
